Index,title,year,rating,age_restr
163, Gone with the Wind,1939,8.2,PG
164," Lock, Stock and Two Smoking Barrels",1998,8.1,18
165, The Secret in Their Eyes,2009,8.2,18
166, V for Vendetta,2005,8.2,15
167, Inside Out,2015,8.1,U
168, Raging Bull,1980,8.1,X
169," Three Billboards Outside Ebbing, Missouri",2017,8.1,15
170, Trainspotting,1996,8.1,18
171, The Bridge on the River Kwai,1957,8.1,PG
172, Klaus,2019,8.2,PG
173, Fargo,1996,8.1,18
174, Spider-Man: No Way Home,2021,8.2,12A
175, Catch Me If You Can,2002,8.1,12A
176, Warrior,2011,8.1,12A
177, Gran Torino,2008,8.1,15
178, Million Dollar Baby,2004,8.1,12A
179, My Neighbour Totoro,1988,8.1,U
180, Harry Potter and the Deathly Hallows: Part 2,2011,8.1,12A
181, Children of Heaven,1997,8.2,PG
182, 12 Years a Slave,2013,8.1,15
183, Blade Runner,1982,8.1,AA
184, Ben-Hur,1959,8.1,PG
185, Before Sunrise,1995,8.1,15
186, The Grand Budapest Hotel,2014,8.1,15
187, Barry Lyndon,1975,8.1,PG
188, Gone Girl,2014,8.1,18
189, Hacksaw Ridge,2016,8.1,15
190, Mad Max: Fury Road,2015,8.1,15
191, The Gold Rush,1925,8.1,U
192, Dead Poets Society,1989,8.1,PG
193, Memories of Murder,2003,8.1,15
194, In the Name of the Father,1993,8.1,15
195, Wild Tales,2014,8.1,15
196, The Deer Hunter,1978,8.1,X
197, The General,1926,8.1,U
198," Monsters, Inc",2001,8.1,U
199, On the Waterfront,1954,8.1,PG
200, Sherlock Jr,1924,8.2,U
201, How to Train Your Dragon,2010,8.1,PG
202, Jaws,1975,8.1,PG
203, The Wages of Fear,1953,8.2,PG
204, The Third Man,1949,8.1,PG
205, Mary and Max,2009,8.1,12A
206, Wild Strawberries,1957,8.1,PG
207, Mr,1939,8.1,U
208, Ratatouille,2007,8.1,PG
209, Le Mans '66,2019,8.1,12A
210, Tokyo Story,1953,8.1,U
211, The Big Lebowski,1998,8.1,18
212, Room,2015,8.1,15
213, The Seventh Seal,1957,8.1,PG
214, Rocky,1976,8.1,PG
215, Logan,2017,8.1,15
216, Spotlight,2015,8.1,15
217, Hotel Rwanda,2004,8.1,12A
218, The Terminator,1984,8.1,18
219, Platoon,1986,8.1,15
220, The Passion of Joan of Arc,1928,8.1,PG
221, La haine,1995,8.1,15
222, Before Sunset,2004,8.1,15
223, The Best Years of Our Lives,1946,8.1,U
